"ID","Sex","BirthYear","FinalYear","GroupSize","HelpersF","Siblings","TQ","TranslocatedF","MotherID","FatherID","DominantMaleID","AgeMother","AgeFather","DominantMaleAge","LRS1YEAR","Event","ReproLifespan"
1663,1,2001,2002,2,0,0,70079.40573,0,1490,1031,1031,2.07945205479452,5.07123287671233,5.07123287671233,0,1,0
1664,0,2001,2009,2,0,0,70079.40573,0,1490,1031,1031,2.42739726027397,5.41917808219178,5.41917808219178,0,1,0
1665,0,2001,2005,2,0,0,33489.3131395,0,1059,494,1515,5.35342465753425,11.3972602739726,2.42465753424658,2,1,2
1667,1,2001,2003,2,0,0,42927.23501,0,1218,1542,NA,5.33698630136986,2.17260273972603,NA,0,1,0
1668,1,2002,2003,2,0,0,21124.1399325,0,826,1213,1590,7.92054794520548,4.74794520547945,1.87123287671233,0,1,0
1669,0,2001,2015,3,0,0,24210.9560745,0,1503,1209,507,2.55068493150685,4.02191780821918,8.04931506849315,3,1,7
1671,1,2002,2004,2,0,0,72007.43896,1,459,1670,1670,9.71506849315069,0.753424657534247,0.753424657534247,NA,0,NA
1673,0,2001,2004,2,0,0,26952.8335,1,1409,1543,1209,2.92876712328767,2.32054794520548,4.04109589041096,NA,0,NA
1675,0,2002,2003,2,0,0,43461.074605,0,1589,929,929,1.98356164383562,7.82191780821918,7.82191780821918,0,1,0
1677,1,2001,2005,2,0,0,25091.387355,0,1588,1587,1524,1.66027397260274,2.33150684931507,2.26849315068493,1,1,1
1678,0,2002,2013,3,0,1,25091.387355,0,1588,1581,1581,2.28219178082192,2.29041095890411,2.29041095890411,4,1,9
1681,1,2001,2002,2,0,0,119671.798115,0,845,1276,1276,7.47397260273973,4.85753424657534,4.85753424657534,0,1,0
1682,1,2001,2008,3,0,0,22458.105515,0,869,1188,NA,6.44109589041096,5.06301369863014,NA,2,1,4
1683,1,2001,2004,NA,0,0,57941.43108,1,1271,1593,1593,4.53424657534247,1.15342465753425,1.15342465753425,NA,0,NA
1684,1,2000,2004,2,0,0,28574.932055,1,927,501,501,6.46849315068493,6.63287671232877,6.63287671232877,NA,0,NA
1696,1,2002,2004,3,0,0,27032.2446,1,1384,1557,1370,3.99452054794521,2.82739726027397,5.02465753424658,NA,0,NA
1697,0,2002,2007,3,0,0,27032.2446,0,1384,1370,1370,3.45479452054795,4.48493150684931,4.48493150684931,2,1,2
1698,1,2001,2010,2,0,0,27788.534565,0,1552,1504,1504,1.94794520547945,2.24383561643836,2.24383561643836,3,1,5
1699,1,2002,2006,2,0,0,27788.534565,0,1552,1504,1504,2.29041095890411,2.58630136986301,2.58630136986301,3,1,3
1700,0,2001,2004,2,0,0,14422.8457645,1,1508,865,865,2.70958904109589,7.42739726027397,7.42739726027397,NA,0,NA
1701,0,2001,2002,3,0,0,70946.760025,0,595,497,495,8.09041095890411,8.09041095890411,8.09041095890411,1,1,1
1702,1,2002,2010,2,0,0,32763.6985815,0,1771,911,1187,0.950684931506849,8.20547945205479,5.71780821917808,3,1,3
1703,0,2002,2003,3,0,0,14134.33412,0,1244,1213,1188,5.26027397260274,5.02465753424658,5.71232876712329,0,1,0
