"ID","Sex","Year","BirthYear","FinalYear","ARS1yr","GroupSize","HelpersF","Siblings","TQ","MotherID","FatherID","DominantMaleID","AgeMother","AgeFather","DominantMaleAge"
5650,1,2012,2011,2014,0,2,0,0,8529.269203,5132,2974,5498,4.62739726027397,7.53424657534247,1.83835616438356
5650,1,2013,2011,2014,0,2,0,0,8529.269203,5132,2974,5498,4.62739726027397,7.53424657534247,1.83835616438356
5650,1,2011,2011,2014,0,2,0,0,8529.269203,5132,2974,5498,4.62739726027397,7.53424657534247,1.83835616438356
5650,1,2014,2011,2014,1,2,0,0,8529.269203,5132,2974,5498,4.62739726027397,7.53424657534247,1.83835616438356
5652,0,2013,2011,2016,0,2,0,0,14499.22148,5075,5000,5000,4.11506849315068,4.2027397260274,4.2027397260274
5652,0,2014,2011,2016,1,2,0,0,14499.22148,5075,5000,5000,4.11506849315068,4.2027397260274,4.2027397260274
5652,0,2016,2011,2016,0,2,0,0,14499.22148,5075,5000,5000,4.11506849315068,4.2027397260274,4.2027397260274
5652,0,2012,2011,2016,0,2,0,0,14499.22148,5075,5000,5000,4.11506849315068,4.2027397260274,4.2027397260274
5652,0,2015,2011,2016,0,2,0,0,14499.22148,5075,5000,5000,4.11506849315068,4.2027397260274,4.2027397260274
5652,0,2011,2011,2016,0,2,0,0,14499.22148,5075,5000,5000,4.11506849315068,4.2027397260274,4.2027397260274
5653,0,2011,2011,2013,0,3,0,0,14287.26725,3462,2966,3093,6.33150684931507,7.46849315068493,6.78904109589041
5653,0,2012,2011,2013,0,3,0,0,14287.26725,3462,2966,3093,6.33150684931507,7.46849315068493,6.78904109589041
5653,0,2013,2011,2013,0,3,0,0,14287.26725,3462,2966,3093,6.33150684931507,7.46849315068493,6.78904109589041
5655,1,2013,2011,2013,0,2,0,0,24669.84982,5119,5235,5235,3.41917808219178,2.62191780821918,2.62191780821918
5655,1,2012,2011,2013,0,2,0,0,24669.84982,5119,5235,5235,3.41917808219178,2.62191780821918,2.62191780821918
5655,1,2011,2011,2013,0,2,0,0,24669.84982,5119,5235,5235,3.41917808219178,2.62191780821918,2.62191780821918
5658,0,2011,2011,2015,0,2,0,0,31038.41371,4999,5072,5526,4.4027397260274,4.23287671232877,1.9972602739726
5658,0,2015,2011,2015,0,2,0,0,31038.41371,4999,5072,5526,4.4027397260274,4.23287671232877,1.9972602739726
5658,0,2013,2011,2015,0,2,0,0,31038.41371,4999,5072,5526,4.4027397260274,4.23287671232877,1.9972602739726
5658,0,2014,2011,2015,0,2,0,0,31038.41371,4999,5072,5526,4.4027397260274,4.23287671232877,1.9972602739726
5658,0,2012,2011,2015,0,2,0,0,31038.41371,4999,5072,5526,4.4027397260274,4.23287671232877,1.9972602739726
5678,0,2011,2011,2014,0,2,0,0,19768.05098,4958,4888,4888,4.17260273972603,4.42465753424658,4.42465753424658
5678,0,2012,2011,2014,0,2,0,0,19768.05098,4958,4888,4888,4.17260273972603,4.42465753424658,4.42465753424658
5678,0,2013,2011,2014,0,2,0,0,19768.05098,4958,4888,4888,4.17260273972603,4.42465753424658,4.42465753424658
5678,0,2014,2011,2014,0,2,0,0,19768.05098,4958,4888,4888,4.17260273972603,4.42465753424658,4.42465753424658
5682,1,2011,2011,2013,0,2,0,0,91327.50016,5320,1762,1762,3.07397260273973,8.77808219178082,8.77808219178082
5682,1,2012,2011,2013,0,2,0,0,91327.50016,5320,1762,1762,3.07397260273973,8.77808219178082,8.77808219178082
5682,1,2013,2011,2013,0,2,0,0,91327.50016,5320,1762,1762,3.07397260273973,8.77808219178082,8.77808219178082
5685,0,2012,2011,2013,0,2,0,0,25204.59602,5284,5539,5539,2.7013698630137,1.58904109589041,1.58904109589041
5685,0,2013,2011,2013,0,2,0,0,25204.59602,5284,5539,5539,2.7013698630137,1.58904109589041,1.58904109589041
5685,0,2011,2011,2013,0,2,0,0,25204.59602,5284,5539,5539,2.7013698630137,1.58904109589041,1.58904109589041
5686,0,2012,2011,2013,0,5,1,0,21570.50586,5217,5000,5116,3.16438356164384,4.75890410958904,4.60821917808219
5686,0,2011,2011,2013,0,5,1,0,21570.50586,5217,5000,5116,3.16438356164384,4.75890410958904,4.60821917808219
5686,0,2013,2011,2013,0,5,1,0,21570.50586,5217,5000,5116,3.16438356164384,4.75890410958904,4.60821917808219
5687,1,2012,2011,2012,0,2,0,0,13670.51203,5457,5285,5285,2.3041095890411,3.24383561643836,3.24383561643836
5687,1,2011,2011,2012,0,2,0,0,13670.51203,5457,5285,5285,2.3041095890411,3.24383561643836,3.24383561643836
5748,0,2012,2011,2015,0,2,0,0,31376.00397,3608,5237,5237,5.92328767123288,3.16986301369863,3.16986301369863
